                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                 4.1704,                 1.9486,                 5.3184,                 3.4153,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.5629,                 1.3529,                 4.6441,                 2.8936,               0.066906,             3.3128e-05,             3.3128e-05
                      1,                 4.0887,                 1.3951,                 4.6946,                 2.6791,              0.0037113,               0.057817,              0.0023279,             0.00083126,               0.020624,               0.011721,              0.0017824,             0.00043492,                 4.2073,                 1.5044,                 9.6162,                  2.538,               0.033602,             6.3171e-05,             6.3171e-05
                      2,                 3.7871,                 1.3296,                 4.4014,                 2.4096,              0.0043429,                0.06782,              0.0042016,              0.0014241,              0.0038204,               0.056837,              0.0041136,              0.0011691,                 3.9463,                 1.5474,                 7.4669,                 2.2974,             0.00029568,             8.9915e-05,             8.9915e-05
                      3,                 3.6067,                  1.276,                 4.1762,                 2.3293,                0.16119,               0.031329,               0.011249,              0.0032589,                0.15982,               0.029662,               0.011282,              0.0035057,                 3.7327,                 1.5527,                 4.2597,                 2.1775,              8.515e-05,              8.515e-05,              8.515e-05
                      4,                 3.4589,                 1.2323,                 4.0482,                 2.2505,                0.30574,               0.044728,               0.024589,              0.0083119,                0.31388,                0.06293,               0.028788,               0.010696,                 3.5286,                 1.3981,                 5.0139,                 2.0863,              8.515e-05,              8.515e-05,              8.515e-05
                      5,                 3.2956,                 1.1877,                 3.7725,                 2.1812,                0.32045,               0.063782,               0.046291,               0.015468,                0.32276,               0.068771,               0.050454,               0.018942,                 3.3357,                 1.3249,                 3.2137,                 2.0193,               8.02e-05,               8.02e-05,               8.02e-05
                      6,                    3.2,                 1.1517,                   3.64,                 2.1333,                0.35702,                0.10148,               0.085698,               0.027443,                 0.3645,                0.11716,               0.090364,               0.033405,                  3.196,                 1.2471,                 2.9973,                 1.9367,              7.525e-05,              7.525e-05,              7.525e-05
                      7,                 3.0637,                 1.1167,                 3.4655,                 2.0586,                0.21086,                0.12581,               0.081519,               0.031721,                0.20989,                0.13384,               0.080806,               0.035348,                 3.0285,                 1.2414,                  3.106,                 1.8653,               7.03e-05,               7.03e-05,               7.03e-05
                      8,                 2.9354,                  1.084,                 3.2658,                  1.991,                0.33658,                0.11249,               0.076652,               0.028667,                 0.3366,                0.12896,               0.078585,               0.033536,                 3.0146,                 1.1509,                  3.815,                 1.8388,              6.535e-05,              6.535e-05,              6.535e-05
                      9,                 2.8515,                  1.053,                 3.3353,                 1.9273,                0.38716,                0.12338,               0.081758,               0.032227,                0.44037,                0.13929,               0.095582,               0.038197,                 2.8769,                 1.1541,                 3.8607,                 1.7838,               6.04e-05,               6.04e-05,               6.04e-05
