                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     10,                  2.744,                  1.026,                 3.0477,                 1.8863,                0.24709,                0.16418,                 0.1031,               0.040543,                0.25056,                0.16478,                0.10105,               0.044963,                   2.78,                 1.0813,                 3.3746,                 1.7098,              5.545e-05,              5.545e-05,              5.545e-05
                     11,                 2.6481,                0.99721,                 2.9524,                 1.8259,                0.30764,                0.14302,               0.083891,               0.032914,                 0.3126,                0.14173,               0.084511,               0.035413,                 2.7331,                 1.0409,                 6.1944,                 1.6924,               5.05e-05,               5.05e-05,               5.05e-05
                     12,                 2.5852,                0.98022,                 2.8631,                 1.7879,                0.29916,                0.14027,                0.12882,                0.05237,                0.28235,                0.17185,                0.13128,               0.057456,                 2.6657,                 1.0396,                 3.3363,                  1.659,              4.555e-05,              4.555e-05,              4.555e-05
                     13,                 2.4961,                0.96009,                 2.7172,                 1.7445,                0.45736,                0.15195,                0.14679,               0.058441,                0.46587,                0.19083,                0.15421,               0.066065,                 2.6117,                  1.019,                 2.4599,                 1.6312,               4.06e-05,               4.06e-05,               4.06e-05
                     14,                 2.4529,                0.94668,                 2.6603,                 1.7099,                 0.3759,                0.16226,                0.14752,               0.061057,                0.36885,                0.16516,                 0.1456,               0.061403,                 2.5615,                 1.0034,                 2.7814,                 1.6161,              3.565e-05,              3.565e-05,              3.565e-05
                     15,                 2.3795,                0.92874,                 2.6091,                 1.6814,                0.29233,                0.21284,                0.14781,               0.060295,                0.28973,                0.21402,                0.14668,               0.062265,                 2.5375,                0.99636,                 3.7872,                 1.5988,               3.07e-05,               3.07e-05,               3.07e-05
                     16,                 2.3459,                0.92236,                  2.528,                 1.6636,                 0.3743,                0.15957,                0.15645,               0.062622,                0.28684,                0.20975,                 0.1533,               0.067276,                 2.5136,                0.99479,                 3.9978,                 1.5918,              2.575e-05,              2.575e-05,              2.575e-05
                     17,                 2.2884,                0.90544,                 2.4344,                 1.6423,                0.27652,                0.18647,                0.14333,               0.060672,                0.27338,                0.20328,                0.14107,               0.061374,                 2.5051,                 0.9945,                 3.7048,                 1.5783,               2.08e-05,               2.08e-05,               2.08e-05
                     18,                 2.2678,                0.89543,                 2.4564,                 1.6178,                0.28952,                0.19919,                0.13825,               0.057247,                0.28412,                0.19848,                0.13921,               0.059829,                 2.4814,                0.98886,                 3.7039,                 1.5706,              1.585e-05,              1.585e-05,              1.585e-05
                     19,                 2.2414,                0.88971,                  2.348,                 1.6178,                0.32554,                0.18989,                0.16883,               0.069745,                0.34009,                0.20279,                0.17557,               0.074539,                 2.4603,                 1.0015,                 3.0129,                 1.5529,               1.09e-05,               1.09e-05,               1.09e-05
                     20,                0.34099,                0.18596,                0.16833,               0.069712,                 0.3404,                0.20212,                0.17389,               0.073865,                 2.4611,                 1.0017,                 3.0143,                 1.5536
